id,verse,token,lemma,mood,number,NEG,RES,ACT,DUR,CONF,GNO,HAB,ITER,STAT,CON,TEL
636186,JOHN 19.6,ushramei,us-hramjan,imperative,singular,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
636193,JOHN 19.6,nimiþ,niman,imperative,plural,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
636197,JOHN 19.6,hramjiþ,hramjan,imperative,plural,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
636542,ROM 7.7,gairnjais,gairnjan,optative,singular,TRUE,FALSE,NA,FALSE,NA,TRUE,NA,FALSE,FALSE,NA,FALSE
637790,ROM 10.6,qiþais,qiþan,optative,singular,TRUE,FALSE,NA,FALSE,NA,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638222,ROM 11.18,ƕop,ƕopan,imperative,singular,TRUE,FALSE,FALSE,FALSE,NA,TRUE,NA,FALSE,FALSE,TRUE,FALSE
638263,ROM 11.20,hugei,hugjan,imperative,singular,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
638267,ROM 11.20,ogs,ogan*,imperative,singular,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE
638565,ROM 12.2,galeikoþ,gáleikon,optative/imperative,plural,TRUE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE,TRUE,TRUE,TRUE
638571,ROM 12.2,inmaidjaiþ,in-maidjan,optative,plural,FALSE,TRUE,NA,FALSE,FALSE,NA,NA,FALSE,TRUE,TRUE,TRUE
638677,ROM 12.9,fiandans,fijan,participle,plural,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE,FALSE,FALSE
638680,ROM 12.9,haftjandans,haftjan,participle,plural,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638692,ROM 12.10,faurarahnjandans,faura-rahnjan,participle,plural,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,TRUE
638699,ROM 12.11,wulandans,wulan,participle,plural,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,NA,TRUE
638702,ROM 12.11,skalkinondans,skalkinon,participle,plural,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,FALSE
638705,ROM 12.12,faginondans,faginon,participle,plural,FALSE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE,FALSE,FALSE
